"crn","subject","course","section","days","time"
"40289","CSCI","111","001","MW","6:00 - 8:25 P.M."
"40295","CSCI","111","002","TR","8:00 - 10:25 A.M."
"41340","OA","102","001","MW","12:40 - 1:40 P.M."
"41384","OA","106","001","MWF","11:30 - 12:30 P.M."
"41392","OA","106","002","MWF","9:10 - 10:10 A.M."
"41402","OA","106","003","TR","1:00 - 2:30 P.M."
"41416","OA","106","901","DIS","DIS"
"41450","OA","110","004","MWF","10:20 - 11:20 A.M."
"41462","OA","110","008","TR","1:00 - 2:30 P.M."
"41464","OA","110","009","MWF","1:50 - 2:50 P.M."
"41474","OA","110","015","TR","9:40 - 11:10 A.M."
"41484","OA","110","022","MWF","11:30 - 12:30 P.M."
"41487","OA","110","023","TR","11:20 - 12:50 P.M."
"41491","OA","110","069","M","9:00 - 12:05 P.M."
"41495","OA","110","102","R","9:00 - 12:05 P.M."
"41726","OA","110","901","DIS","DIS"
"41730","CIS","130","001","TR","2:40 - 4:40 P.M."
"41777","CIS","130","901","DIS","DIS"
"41800","CIS","150","001","TR","6:00 - 8:25 P.M."
"41806","CIS","150","003","MW","1:50 - 4:15 P.M."
"41826","CIS","205","001","S","8:00 - 1:00 P.M."
"41846","OA","161","002","TR","1:00 - 2:30 P.M."
"41849","CIS","106","001","MW","6:00 - 8:25 P.M."
"42036","CIS","106","010","MW","11:30 - 1:55 P.M."
"42052","CIS","106","006","TR","1:00 - 3:25 P.M."
"42820","OA","106","004","MWF","10:20 - 11:20 A.M."
"42825","OA","106","006","TR","9:40 - 11:10 A.M."
"42830","OA","106","008","R","6:00 - 9:05 P.M."
"42873","CIS","105","001","TR","8:00 - 10:25 A.M."
"43334","OA","102","007","TR","2:40 - 3:40 P.M."
"43872","CSCI","112","001","TR","11:20 - 1:45 P.M."
"43876","CIS","140","001","TR","9:40 - 11:40 A.M."
"43878","CIS","105","002","TR","6:00 - 8:25 P.M."
"43879","CIS","270","001","TR","2:40 - 5:05 P.M."
"43882","CSCI","211","001","MW","11:30 - 1:55 P.M."
"45214","OA","106","005","TR","11:20 - 12:50 P.M."
"45221","OA","110","014","M","6:00 - 9:05 P.M."
"45734","OA","110","105","T","12:30 - 3:35 P.M."
"46537","CIS","252","002","MTW","6:00 - 9:20 P.M."
"46538","CIS","253","001","MTW","6:00 - 9:20 P.M."
"46906","CIS","259","001","MW","6:00 - 8:25 P.M."
"47210","OA","110","017","S","9:00 - 12:05 P.M."
"47214","OA","106","070","F","1:45 - 5:50 P.M."
"47937","CSCI","111","900","DIS","DIS"
"48284","CSCI","111","901","DIS","DIS"
"48488","CIS","205","002","TR","9:40 - 10:55 A.M."
"48490","CSCI","213","001","MW","8:00 - 10:25 A.M."
"48491","CSCI","215","001","TR","2:40 - 4:40 P.M."
