Albany NY,Boston MA,170
Albany NY,Hartford CT,113
Albany NY,New York NY,145
Albany NY,Portland ME,270
Albany NY,Scranton PA,180
Albany NY,Syracuse NY,145
Albuquerque NM,Amarillo TX,187
Albuquerque NM,Denver CO,448
Albuquerque NM,Durango CO,214
Albuquerque NM,El Paso TX,265
Albuquerque NM,Flagstaff AZ,323
Albuquerque NM,Phoenix AZ,420
Albuquerque NM,Roswell NM,201
Amarillo TX,Albuquerque NM,187
Amarillo TX,Dallas TX,361
Amarillo TX,Denver CO,421
Amarillo TX,Oklahoma City OK,258
Amarillo TX,Roswell NM,215
Asheville NC,Atlanta GA,198
Asheville NC,Augusta GA,188
Asheville NC,Charleston SC,268
Asheville NC,Charleston WV,294
Asheville NC,Charlotte NC,129
Asheville NC,Chattanooga TN,229
Asheville NC,Greensboro NC,172
Asheville NC,Knoxville TN,116
Atlanta GA,Asheville NC,198
Atlanta GA,Augusta GA,147
Atlanta GA,Birmingham AL,146
Atlanta GA,Charlotte NC,244
Atlanta GA,Chattanooga TN,118
Atlanta GA,Huntsville AL,183
Atlanta GA,Knoxville TN,202
Atlanta GA,Montgomery AL,160
Atlanta GA,Savannah GA,248
Atlanta GA,Tifton GA,180
Augusta GA,Asheville NC,188
Augusta GA,Atlanta GA,147
Augusta GA,Charleston SC,175
Augusta GA,Charlotte NC,162
Augusta GA,Savannah GA,143
Augusta GA,Tifton GA,227
Austin TX,Corpus Christi TX,198
Austin TX,Dallas TX,195
Austin TX,El Paso TX,577
Austin TX,Houston TX,162
Austin TX,San Antonio TX,80
Austin TX,Shreveport LA,329
Bakersfield CA,Fresno CA,110
Bakersfield CA,Las Vegas NV,286
Bakersfield CA,Los Angeles CA,111
Bakersfield CA,San Luis Obispo CA,122
Baltimore MD,Harrisburg PA,78
Baltimore MD,Philadelphia PA,106
Baltimore MD,Washington DC,40
Baton Rouge LA,Jackson MS,174
Baton Rouge LA,Lake Charles LA,126
Baton Rouge LA,Mobile AL,201
Baton Rouge LA,New Orleans LA,80
Baton Rouge LA,Shreveport LA,250
Bend OR,Boise ID,318
Bend OR,Eugene OR,115
Bend OR,Portland OR,162
Bend OR,Redding CA,277
Billings MT,Bismarck ND,414
Billings MT,Casper WY,281
Billings MT,Great Falls MT,219
